userid,condition,snippet,order,topic,total_actions,p10,any_interactions,was_clicked,clicked_count
15,0,2,1,347,364,0.0,0,0,0
17,0,0,3,435,757,0.5,1,1,16
21,0,2,3,435,226,0.5,1,1,10
13,0,2,4,408,766,0.3,1,1,12
13,0,2,4,408,766,0.0,0,0,0
13,0,2,4,408,766,0.2,0,0,0
13,0,2,4,408,766,0.1,0,0,0
13,0,2,4,408,766,0.2,1,1,2
13,0,2,4,408,766,0.0,1,1,4
13,0,2,4,408,766,0.1,0,0,0
13,0,2,4,408,766,0.6,1,1,2
0,0,1,3,435,356,0.2,1,1,10
19,0,4,4,408,157,0.6,1,1,6
14,0,2,4,408,180,0.2,1,1,8
43,0,0,4,408,595,0.4,0,0,0
43,0,0,4,408,595,0.4,1,1,6
43,0,0,4,408,595,0.3,1,1,3
48,0,4,2,341,176,0.0,0,0,0
48,0,4,2,341,176,0.2,1,1,1
48,0,4,2,341,176,0.0,1,1,3
48,0,4,2,341,176,0.1,1,1,1
9,0,2,3,435,248,0.2,1,1,2
